id,word,reading,meaning,meaningZh,review,source_file,site_image
n5_07718,いす,いす / イス,chair,椅子,OK,tup\n5_07718_いす_00001_.png,assets/images/n5_07718_いす.png
n5_07725,おなか,おなか,stomach,肚子、胃,OK,tup\n5_07725_おなか_00000.png,assets/images/n5_07725_おなか.png
n5_07726,おばあさん,おばあさん / おばーさん,"grandmother,female senior-citizen",祖母、老奶奶,OK,tup\n5_07726_おばあさん_00003_.png,assets/images/n5_07726_おばあさん.png
n5_07729,お兄さん,おにいさん,(honorable) older brother,哥哥,OK,tup\n5_07729＿お兄さん_00000.png,assets/images/n5_07729_お兄さん.png
n5_07730,お姉さん,おねえさん,(honorable) older sister,姐姐,OK,tup\n5_07730_お姉さん.png,assets/images/n5_07730_お姉さん.png
n5_07734,お父さん,おとうさん,(honorable) father,父亲、爸爸,OK,tup\n5_07734＿お父さん_00000.png,assets/images/n5_07734_お父さん.png
n5_07736,お茶,おちゃ,green tea,绿茶,OK,tup\n5_07736_お茶_00001_.png,assets/images/n5_07736_お茶.png
n5_07739,お金,おかね,money,钱,OK,tup\n5_07739_お金.png,assets/images/n5_07739_お金.png
n5_07742,かぎ,かぎ / カギ,key,钥匙,OK,tup\n5_07742_かぎ_00003_.png,assets/images/n5_07742_かぎ.png
n5_07744,かばん,かばん,"bag,basket",包、篮子,OK,tup\n5_07744_かばん_00001_.png,assets/images/n5_07744_かばん.png
n5_07777,ちゃわん,ちゃわん,rice bowl,饭碗,OK,tup\n5_07777_ちゃわん_00003_.png,assets/images/n5_07777_ちゃわん.png
n5_07786,とり肉,とりにく,chicken meat,鸡肉,OK,tup\n5_07786_とり肉_00001_.png,assets/images/n5_07786_とり肉.png
n5_07821,カップ,カップ,cup,杯子,OK,tup\n5_07821_カップ_00001_.png,assets/images/n5_07821_カップ.png
n5_07822,カメラ,カメラ / キャメラ,camera,相机,OK,tup\n5_07822_カメラ_00001_.png,assets/images/n5_07822_カメラ.png
n5_07830,コップ,コップ / コツフ,a glass,玻璃杯,OK,tup\n5_07830_コップ.png,assets/images/n5_07830_コップ.png
n5_07832,コート,コート,"coat,tennis court",外套、网球场,OK,tup\n5_07832_コート.png,assets/images/n5_07832_コート.png
n5_07833,コーヒー,コーヒー,coffee,咖啡,OK,tup\n5_07833_コーヒー.png,assets/images/n5_07833_コーヒー.png
n5_07834,シャツ,シャツ,shirt,衬衫,OK,tup\n5_07834＿シャツ.png,assets/images/n5_07834_シャツ.png
n5_07836,スカート,スカート,skirt,裙子,OK,tup\n5_07836＿スカート.png,assets/images/n5_07836_スカート.png
n5_07838,スプーン,スプーン / スプン,spoon,勺子,OK,tup\n5_07838_スプーン.png,assets/images/n5_07838_スプーン.png
n5_07844,タクシー,タクシー / タクシ / タキシ,taxi,出租车,OK,tup\n5_07844_タクシー_00001_.png,assets/images/n5_07844_タクシー.png
n5_07847,テーブル,テーブル,table,桌子,OK,tup\n5_07847_テーブル_00001_.png,assets/images/n5_07847_テーブル.png
n5_07850,デパート,デパート,department store,百货商店,OK,tup\n5_07850_デパート_00001_.png,assets/images/n5_07850_デパート.png
n5_07853,ナイフ,ナイフ,knife,刀,OK,tup\n5_07853_ナイフ_00001_.png,assets/images/n5_07853_ナイフ.png
n5_07858,バス,バス,bus,公交车,OK,tup\n5_07858_バス_00001_.png,assets/images/n5_07858_バス.png
n5_07860,パン,パン,bread,面包,OK,tup\n5_07860_パン_00003_.png,assets/images/n5_07860_パン.png
n5_07863,フォーク,フォーク / ホーク,fork,叉子,OK,tup\n5_07863_フォーク_00001_.png,assets/images/n5_07863_フォーク.png
n5_07867,ペン,ペン,pen,笔,OK,tup\n5_07867_ペン_00001_.png,assets/images/n5_07867_ペン.png
n5_07869,ホテル,ホテル,hotel,酒店、旅馆,OK,tup\n5_07869_ホテル_00001_.png,assets/images/n5_07869_ホテル.png
n5_07871,ボールペン,ボールペン / ボール・ペン,ball-point pen,圆珠笔,OK,tup\n5_07871_ボールペン_00001_.png,assets/images/n5_07871_ボールペン.png
n5_07879,レストラン,レストラン,restaurant,餐厅,OK,tup\n5_07879_レストラン_00003_.png,assets/images/n5_07879_レストラン.png
n5_07880,ワイシャツ,ワイシャツ,business shirt,衬衫,OK,tup\n5_07880＿ワイシャツ.png,assets/images/n5_07880_ワイシャツ.png
n5_07883,一人,ひとり,one person,一个人,OK,tup\n5_07883_一人_00001_.png,assets/images/n5_07883_一人.png
n5_07893,万年筆,まんねんひつ,fountain pen,钢笔,OK,tup\n5_07893_万年筆.png,assets/images/n5_07893_万年筆.png
n5_07901,上着,うわぎ,jacket,外套,OK,tup\n5_07901_上着.png,assets/images/n5_07901_上着.png
n5_07915,二人,ふたり,two people,两个人,OK,tup\n5_07915_二人.png,assets/images/n5_07915_二人.png
n5_07923,交番,こうばん,police box,派出所、交番,OK,tup\n5_07923_交番.png,assets/images/n5_07923_交番.png
n5_07938,伯父/叔父,おじいさん,"grandfather,male senior citizen",祖父、老爷爷,OK,tup\n5_07938_伯父_叔父_00001_.png,assets/images/n5_07938_伯父_叔父.png
n5_07941,体,からだ,body,身体,OK,tup\n5_07941_体_00003_.png,assets/images/n5_07941_体.png
n5_07948,傘,かさ,umbrella,伞,OK,tup\n5_07948_傘_00001_.png,assets/images/n5_07948_傘.png
n5_07950,元気,げんき,"health, vitality",健康、精神,OK,tup\n5_07950_元気_00002_.png,assets/images/n5_07950_元気.png
n5_07951,兄,あに,(humble) older brother,哥哥,OK,tup\n5_07951_兄_00001_.png,assets/images/n5_07951_兄.png
n5_07965,公園,こうえん,park,公园,OK,tup\n5_07965_公園_00001_.png,assets/images/n5_07965_公園.png
n5_07975,出る,でる,"to appear,to leave",出现、离开,OK,tup\n5_07975_出る_00001_.png,assets/images/n5_07975_出る.png
n5_07980,切符,きっぷ,ticket,票,OK,tup\n5_07980_切符.png,assets/images/n5_07980_切符.png
