id,word,reading,meaning,meaningZh,current_review,folder_review,changed
n2_04413,拭く,ふく,"to wipe,to dry",擦拭,NO PICTURE,NO PICTURE,no
n2_04416,挙げる,あげる,"to raise,to fly",列举,NO PICTURE,NO PICTURE,no
n2_04418,挟む,はさむ,"to interpose,to hold between,to insert",夹住,NO PICTURE,NO PICTURE,no
n2_04421,挿す,さす,"to insert,to put in,to graft,to wear in belt",插入、插上,NO PICTURE,NO PICTURE,no
n2_04423,捕る,とる,"to take,to catch (fish),to capture",捕捉,NO PICTURE,NO PICTURE,no
n2_04426,捻る,ひねる,"to turn (a switch) on or off,to twist,to puzzle over",拧动开关；扭；困惑,NO PICTURE,NO PICTURE,no
n2_04431,採る,とる,"(1) to adopt (measure, proposal),(2) to pick (fruit)",采纳；采摘,NO PICTURE,NO PICTURE,no
n2_04434,接する,せっする,"to come in contact with,to connect,to attend,to receive",接触、接待,NO PICTURE,NO PICTURE,no
n2_04440,揃える,そろえる,"to put things in order,to arrange,to make uniform,to get something ready",整理；准备,NO PICTURE,NO PICTURE,no
n2_04449,擦る,こする,"to rub,to chafe,to file,to frost (glass),to strike (match)",擦拭；刮,NO PICTURE,NO PICTURE,no
n2_04455,攻める,せめる,"to attack,to assault",攻击；袭击,NO PICTURE,NO PICTURE,no
n2_04457,放れる,はなれる,"to leave,to get free,to cut oneself off",挣脱；释放,NO PICTURE,NO PICTURE,no
n2_04464,散る,ちる,"to fall,to scatter (e.g. blossoms)",散落；消散,NO PICTURE,NO PICTURE,no
n2_04465,敬う,うやまう,"to show respect,to honour",尊敬；崇拜,NO PICTURE,NO PICTURE,no
n2_04503,映る,うつる,"to be reflected,to harmonize with,to come out (photo)",反射；显示,NO PICTURE,NO PICTURE,no
n2_04511,曲げる,まげる,"to bend,to crook,to lean",弯曲,NO PICTURE,NO PICTURE,no
n2_04513,更ける,ふける,"to get late,to advance,to wear on",变晚,NO PICTURE,NO PICTURE,no
n2_04551,棄てる,すてる,to throw away | to cast away | to dump,丢弃,NO PICTURE,NO PICTURE,no
n2_04589,気を付ける,きをつける,"to be careful,to pay attention,to take care",注意,NO PICTURE,NO PICTURE,no
n2_04604,汚す,よごす,"(1) to disgrace,to dishonour,(2) to pollute,to contaminate,to soil,to make dirty,to stain",弄脏,NO PICTURE,NO PICTURE,no
n2_04607,治す,なおす,"to cure,to heal,to fix,to correct,to repair",治愈,NO PICTURE,NO PICTURE,no
n2_04609,泊める,とめる,"to give shelter to,to lodge",住宿,NO PICTURE,NO PICTURE,no
n2_04635,涼む,すずむ,"to cool oneself,to cool off,to enjoy evening cool",降温；消暑；享受凉爽,NO PICTURE,NO PICTURE,no
n2_04641,混ぜる,まぜる,"to mix,to stir",混合；搅拌,NO PICTURE,NO PICTURE,no
n2_04654,湧く,わく,"to boil,to grow hot,to get excited,to gush forth",涌出；沸腾；激动；涌现,NO PICTURE,NO PICTURE,no
n2_04677,潜る,もぐる,"(1) to drive,to pass through,(2) to evade,to hide,(3) to dive (into or under water),to go undergroun",潜入；躲避；潜水,NO PICTURE,NO PICTURE,no
n2_04679,潰れる,つぶれる,"to be smashed,to go bankrupt",崩溃；破产,NO PICTURE,NO PICTURE,no
n2_04693,炊く,たく,"to boil,to cook",煮；烹饪,NO PICTURE,NO PICTURE,no
n2_04698,点く,つく,"to catch fire,(electricity) comes on",点亮；点燃；通电,NO PICTURE,NO PICTURE,no
n2_04699,点ける,つける,"to turn on,to switch on,to light up",打开电器,NO PICTURE,NO PICTURE,no
n2_04703,焚く,たく,"to burn,to kindle,to build a fire",生火、焚烧,NO PICTURE,NO PICTURE,no
n2_04708,焦がす,こがす,"to burn,to scorch,to singe,to char",烤焦、烧焦,NO PICTURE,NO PICTURE,no
n2_04715,照らす,てらす,"to shine on,to illuminate",照亮；照射,NO PICTURE,NO PICTURE,no
n2_04716,照る,てる,to shine,发光,NO PICTURE,NO PICTURE,no
n2_04717,煮える,にえる,"to boil,to cook,to be cooked",煮熟,NO PICTURE,NO PICTURE,no
n2_04718,煮る,にる,"to boil,to cook",煮,NO PICTURE,NO PICTURE,no
n2_04724,片付く,かたづく,"to put in order,to dispose of,to solve",整理,NO PICTURE,NO PICTURE,no
n2_04753,生える,はえる,"(1) to grow,to spring up,(2) to cut (teeth)",生长,NO PICTURE,NO PICTURE,no
n2_04795,目立つ,めだつ,"to be conspicuous,to stand out",显眼,NO PICTURE,NO PICTURE,no
n2_04816,真似る,まねる,"to mimic,to imitate",模仿,NO PICTURE,NO PICTURE,no
n2_04819,着ける,つける,"(1) to attach,to join,to add,to append",附加,NO PICTURE,NO PICTURE,no
n2_04820,着せる,きせる,to put on clothes,给...穿,NO PICTURE,NO PICTURE,no
n2_04836,破れる,やぶれる,"to get torn,to wear out",撕裂,NO PICTURE,NO PICTURE,no
n2_04862,突き当たる,つきあたる,"to run into,to collide with",撞上,NO PICTURE,NO PICTURE,no
n2_04863,突く,つく,"(1) to thrust,to strike,(2) to poke",刺入,NO PICTURE,NO PICTURE,no
n2_04864,突っ込む,つっこむ,"to plunge into,to go into deeply",冲入,NO PICTURE,NO PICTURE,no
n2_04866,立ち止まる,たちどまる,"to stop,to halt,to stand still",停下、止步,NO PICTURE,NO PICTURE,no
n2_04917,縛る,しばる,"to tie,to bind",系、绑,NO PICTURE,NO PICTURE,no
n2_04921,縮める,ちぢめる,"to shorten,to reduce,to boil down,to shrink",缩短,NO PICTURE,NO PICTURE,no
n2_04928,纏める,まとめる,"to put in order,to collect,to bring to a conclusion",汇总,NO PICTURE,NO PICTURE,no
n2_04944,背負う,せおう,"to be burdened with,to carry on back or shoulder",负担,NO PICTURE,NO PICTURE,no
n2_04950,腰掛ける,こしかける,to sit (down),坐下,OK,OK,no
n2_04979,著す,あらわす,"to write,to publish",著述、出版,NO PICTURE,NO PICTURE,no
n2_05012,裏返す,うらがえす,"to turn inside out,to turn (something) over",翻转；倒转,NO PICTURE,NO PICTURE,no
n2_05030,見舞う,みまう,"to ask after (health),to visit",探望、慰问,NO PICTURE,NO PICTURE,no
n2_05045,言い出す,いいだす,"to start talking,to speak,to tell,to propose,to suggest,to break the ice",开始说、提出,NO PICTURE,NO PICTURE,no
n2_05046,言付ける,ことづける,"to send word,to send a message",传达,NO PICTURE,NO PICTURE,no
n2_05048,討つ,うつ,"to attack,to avenge",攻击,NO PICTURE,NO PICTURE,no
n2_05059,誓う,ちかう,"to swear,to vow,to take an oath,to pledge",发誓,NO PICTURE,NO PICTURE,no
n2_05065,請う,こう,"to ask,to request",请求、乞求,NO PICTURE,NO PICTURE,no
n2_05089,跳ねる,はねる,"to jump,to leap",跳跃,NO PICTURE,NO PICTURE,no
n2_05090,跳ぶ,とぶ,"to jump,to fly,to leap",跳跃,NO,OK,yes
n2_05101,載せる,のせる,"to place on (something),to take on board,to give a ride",放上、载上,NO PICTURE,NO PICTURE,no
n2_05109,近付ける,ちかづける,"to bring near,to put close,to let come near,to associate with",接近,NO PICTURE,NO PICTURE,no
n2_05114,追い掛ける,おいかける,"to chase or run after someone,to run down,to pursue",追赶、追逐,NO PICTURE,NO PICTURE,no
n2_05118,退ける,どける,"to remove,to take away,to dislodge,to put something out of the way",移开、挪开,NO PICTURE,NO PICTURE,no
n2_05130,通り掛かる,とおりかかる,to happen to pass by,碰巧路过,NO PICTURE,NO PICTURE,no
n2_05142,逸れる,それる,"to stray (turn) from subject,to get lost,to go astray",偏离、走偏,NO PICTURE,NO PICTURE,no
n2_05151,遡る,さかのぼる,"to go back,to go upstream,to make retroactive",追溯、逆流而上,NO PICTURE,NO PICTURE,no
n2_05153,遭う,あう,"to meet,to encounter (undesirable nuance)",遭遇、碰上,NO PICTURE,NO PICTURE,no
n2_05169,重ねる,かさねる,"to pile up,to put something on another,to heap up,to add,to repeat",堆积起来,NO PICTURE,NO PICTURE,no
n2_05245,預かる,あずかる,"to keep in custody,to receive on deposit,to take charge of",保管、代管,NO PICTURE,NO PICTURE,no
n2_05254,飛び込む,とびこむ,"to jump in,to leap in,to plunge into,to dive",跳入、冲进,NO PICTURE,NO PICTURE,no
