id,jlpt_level,word,reading,meaning,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source
n1_00029,N1,お手上げ,おてあげ,all over;given in;given up hope;bring to knees,noun (common) (futsuumeishi),being done for | giving up | being in a hopeless situation | not knowing what to do | being brought to one's knees,review,55,noun_needs_review,general,all over,お手上げ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00030,N1,お早う,おはよう,Good morning,interjection (kandoushi),good morning,review,45,manual_review,general,Good morning,お早う,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00031,N1,お洒落,おしゃれ,smartly dressed;someone smartly dressed;fashion-conscious,adjectival nouns or quasi-adjectives (keiyodoshi) | noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,stylish | fashionable | trendy | chic | smartly dressed,review,48,action_needs_review,person_family,person smartlying dressed,お洒落,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00032,N1,お産,おさん,(giving) birth,noun (common) (futsuumeishi),(giving) birth | childbirth | delivery,review,55,noun_needs_review,general,birth,お産,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00033,N1,お目出度う,おめでとう,(ateji) (int) (uk) Congratulations!;an auspicious occasion!,interjection (kandoushi),congratulations! | well done! | best wishes! | all the best!,review,45,manual_review,general,Congratulations!,お目出度う,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00036,N1,お菜,おかず,side dish;accompaniment for rice dishes,noun (common) (futsuumeishi),small dish (usu. one of several accompanying rice) | side dish | fill | fill-in (drumming) | jack-off material,review,55,noun_needs_review,general,side dish,お菜,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00037,N1,お蔭,おかげ,(your) backing;assistance,noun (common) (futsuumeishi),grace (of God) | benevolence (of Buddha) | blessing | assistance | help,review,55,noun_needs_review,general,backing,お蔭,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00038,N1,お蔭様で,おかげさまで,Thanks to god;thanks to you,"expressions (phrases, clauses, etc.)",thankfully | fortunately | luckily | by God's grace | under the gods' shadow,review,45,manual_review,general,Thanks to god,お蔭様で,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00039,N1,お襁褓,おむつ,diaper;nappy,noun (common) (futsuumeishi),diaper | nappy,review,55,noun_needs_review,general,diaper,お襁褓,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00040,N1,お邪魔します,おじゃまします,Excuse me for disturbing (interrupting) you,"expressions (phrases, clauses, etc.)",please excuse the intrusion | I'm coming in,review,45,manual_review,general,Excuse me for disturbing  you,お邪魔します,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00041,N1,お願いします,おねがいします,please,"expressions (phrases, clauses, etc.)",please,review,45,manual_review,general,please,お願いします,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00042,N1,かも知れない,かもしれない,may;might;perhaps;may be;possibly,"expressions (phrases, clauses, etc.)",may | might | perhaps | may be | possibly,review,45,manual_review,general,may,かも知れない,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00047,N1,きちっと,きちっと,exactly;perfectly,adverb (fukushi) | noun or participle which takes the aux. verb suru,exactly | perfectly,review,48,action_needs_review,person_family,person exactlying,きちっと,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00048,N1,きっかり,きっかり / キッカリ,exactly;precisely,adverb (fukushi),exactly | just | precisely | punctually | exactly on time,review,48,action_needs_review,person_family,person exactlying,きっかり,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00054,N1,ぐっと,ぐっと / グッと,firmly;fast;much;more,adverb (fukushi),suddenly | at once | in one go | with a jerk | with a gulp,review,48,action_needs_review,person_family,person firmlying,ぐっと,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00059,N1,この間,このあいだ,the other day;lately;recently,noun (common) (futsuumeishi) | adverb (fukushi),the other day | lately | recently | during this period | meanwhile,review,48,action_needs_review,person_family,person otherring day,この間,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00060,N1,この頃,このごろ,recently,adverb (fukushi) | noun (common) (futsuumeishi),these days | nowadays | now | at present | recently,review,48,action_needs_review,person_family,person recentlying,この頃,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00062,N1,ご無沙汰,ごぶさた,not writing or contacting for a while,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,"not writing or contacting for a while | neglecting (failing) to write (call, visit, etc.) | long silence",review,48,action_needs_review,person_family,person notting writing or contacting for a while,ご無沙汰,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00064,N1,ご馳走,ごちそう,feast;treating (someone),noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,treat (esp. food and drink) | entertainment | treating someone (to a meal) | taking someone to dinner | gorgeous dinner,review,48,action_needs_review,person_family,person feasting,ご馳走,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00065,N1,ご馳走さま,ごちそうさま,feast,interjection (kandoushi),thank you (for the meal) | that was a delicious meal | thank you (for displaying lovey-dovey behaviour),review,45,manual_review,general,feast,ご馳走さま,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00066,N1,さっと,さっと / サッと,quickly;suddenly,adverb (fukushi),"quickly (esp. actions) | suddenly (esp. wind, rain, etc.)",review,48,action_needs_review,person_family,person quicklying,さっと,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00068,N1,し,あずさ / し / アズサ,10^24 (kanji is JIS X 0212 kuten 4906);septillion (American);quadrillion (British),noun (common) (futsuumeishi),Japanese cherry birch (Betula grossa) | yellow catalpa (Catalpa ovata) | Japanese mallotus (Mallotus japonicus) | printing block | catalpa bow,review,55,noun_needs_review,general,10^24,し,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00069,N1,しいんと,,silent (as the grave);(deathly) quiet,,,review,45,manual_review,general,silent,しいんと,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00072,N1,しまった,しまった,Damn it!,interjection (kandoushi),darn it! | darn! | oops! | oh dear! | oh no!,review,45,manual_review,general,Damn it!,しまった,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00073,N1,しょっちゅう,しょっちゅう,always;constantly,adverb (fukushi),always | all the time | constantly | frequently | often,review,48,action_needs_review,person_family,person alwaysing,しょっちゅう,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00075,N1,じゃん拳,じゃんけん,rock-scissors-paper game,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,rock-paper-scissors (game) | janken,review,48,action_needs_review,person_family,person rock-scissors-paperring game,じゃん拳,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00081,N1,ずらっと,ずらっと / ズラッと,in a line;in a row,adverb (fukushi),in a line | in a row,review,48,action_needs_review,person_family,person ining a line,ずらっと,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00083,N1,ずれ,ずれ / ズレ,gap;slippage,noun (common) (futsuumeishi),gap | lag | slippage | difference | discrepancy,review,55,noun_needs_review,general,gap,ずれ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00086,N1,その内,そのうち,eventually;sooner or later;of the previously mentioned,"expressions (phrases, clauses, etc.) | adverb (fukushi)",before very long | soon | someday | one of these days | sooner or later,review,48,action_needs_review,person_family,person eventuallying,その内,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00088,N1,その為,そのため,hence;for that reason,"expressions (phrases, clauses, etc.)",hence | for that reason,review,45,manual_review,general,hence,その為,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00090,N1,たった,たった,only;merely;but;no more than,noun or verb acting prenominally | adverb (fukushi),only | merely | but | no more than,review,48,action_needs_review,person_family,person onlying,たった,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00094,N1,ちょくちょく,ちょくちょく,often;frequently;now and then;occasionally,adverb (fukushi),often | frequently | now and then | occasionally,review,48,action_needs_review,person_family,person oftenning,ちょくちょく,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00095,N1,ちらっと,ちらっと / チラッと / チラっと,at a glance;by accident,adverb (fukushi),at a glance | by accident,review,48,action_needs_review,person_family,person ating a glance,ちらっと,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00096,N1,てっきり,てっきり,surely;certainly;beyond doubt,adverb (fukushi),surely | certainly | without doubt,review,48,action_needs_review,person_family,person surelying,てっきり,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00097,N1,てんで,てんで,(not) at all;altogether;entirely,adverb (fukushi),(not) at all | completely | utterly | entirely | altogether,review,48,action_needs_review,person_family,person ating all,てんで,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00101,N1,どうぞ宜しく,どうぞよろしく,pleased to meet you,"expressions (phrases, clauses, etc.)",pleased to meet you | how do you do | my regards (to someone) | my greetings | best wishes,review,45,manual_review,general,pleased to meet you,どうぞ宜しく,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00102,N1,どうにか,どうにか,in some way or other;one way or another,adverb (fukushi) | noun or participle which takes the aux. verb suru,in some way or other | one way or another | somehow | only just | barely,review,48,action_needs_review,person_family,person ining some way or other,どうにか,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00103,N1,どうやら,どうやら,it seems like;somehow or other,adverb (fukushi),possibly | apparently | (seem) likely | seemingly | somehow or other,review,48,action_needs_review,person_family,person iting seems like,どうやら,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00105,N1,なんだかんだ,なんだかんだ / なんだかだ,something or other,adverb (fukushi),something or other | one thing or another | this or that,review,48,action_needs_review,person_family,person somethinging or other,なんだかんだ,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00107,N1,ねじ回し,ねじまわし,screwdriver,noun (common) (futsuumeishi),screwdriver,review,55,noun_needs_review,general,screwdriver,ねじ回し,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00109,N1,ひょっと,ひょっと,possibly;accidentally,adverb (fukushi) | noun or participle which takes the aux. verb suru,possibly | perhaps | perchance | unintentionally | accidentally,review,48,action_needs_review,person_family,person possiblying,ひょっと,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00110,N1,びっしょり,びっしょり,wet through;drenched,adjectival nouns or quasi-adjectives (keiyodoshi) | adverb (fukushi),wet through | drenched,review,48,action_needs_review,person_family,person wetting through,びっしょり,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00111,N1,びり,ビリ / びり,last on the list;at the bottom,noun (common) (futsuumeishi),last (on the list) | (at the) bottom | (in) last position | tailender,review,55,noun_needs_review,general,last on the list,びり,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00116,N1,ぺこぺこ,ペコペコ / ぺこぺこ,fawn;be very hungry,adjectival nouns or quasi-adjectives (keiyodoshi) | adverb (fukushi) | noun or participle which takes the aux. verb suru,very hungry | starving | famished | bowing repeatedly | kowtowing,review,48,action_needs_review,person_family,person fawning,ぺこぺこ,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00117,N1,ほっと,ほっと / ホッと / ホっと,feel relieved,adverb (fukushi) | noun or participle which takes the aux. verb suru,with a feeling of relief | with a sigh of relief | deeply (sigh),review,48,action_needs_review,person_family,person feeling relieved,ほっと,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00122,N1,もろに,もろに / モロに,completely;all the way,adverb (fukushi),completely | all the way | altogether | bodily,review,48,action_needs_review,person_family,person completelying,もろに,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00126,N1,ゆとり,ゆとり,reserve;affluence;room;time (to spare),noun (common) (futsuumeishi) | noun or verb acting prenominally,elbowroom | leeway | room | reserve | margin,review,48,action_needs_review,person_family,person reserving,ゆとり,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00128,N1,アクセル,アクセル,accelerator,noun (common) (futsuumeishi),accelerator (pedal) | gas pedal,review,55,noun_needs_review,general,accelerator,アクセル,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00130,N1,アプローチ,アプローチ,approach (in golf),noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,"approach (to a problem, issue, etc.) | approach (of a long jump, aircraft's flight, etc.) | inrun (of a ski jump) | approach (to a building, mountain, etc.) | approach shot",review,48,action_needs_review,person_family,person approaching,アプローチ,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00132,N1,アラブ,アラブ,Arab,noun (common) (futsuumeishi),Arab | Arab countries | Arab (horse) | Arabian,review,55,noun_needs_review,general,Arab,アラブ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00133,N1,アルカリ,アルカリ,alkali,noun (common) (futsuumeishi),alkali,review,55,noun_needs_review,general,alkali,アルカリ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00134,N1,アルミ,アルミ,aluminum (Al);aluminium,noun (common) (futsuumeishi),aluminum | aluminium,review,55,noun_needs_review,general,aluminum,アルミ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00135,N1,アワー,アワー / アウア,hour,noun (common) (futsuumeishi),hour,review,55,noun_needs_review,general,hour,アワー,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00136,N1,アンケート,アンケート,(fr:) (n) questionnaire (fr: enquete);survey,noun (common) (futsuumeishi),questionnaire | survey | poll,review,55,noun_needs_review,general,questionnaire,アンケート,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00137,N1,アンコール,アンコール,encore,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb | intransitive verb,encore,review,48,action_needs_review,person_family,person encoring,アンコール,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00138,N1,イエス,イエス / エス / イエースース,Jesus;yes,noun (common) (futsuumeishi),Jesus (Christ),review,55,noun_needs_review,general,Jesus,イエス,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00139,N1,インターチェンジ,インターチェンジ / インター・チェンジ,interchange,noun (common) (futsuumeishi),interchange | service interchange,review,55,noun_needs_review,general,interchange,インターチェンジ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00141,N1,インターフォン,インターホン / インターフォン / インタホン,intercom,noun (common) (futsuumeishi),intercom,review,55,noun_needs_review,general,intercom,インターフォン,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00142,N1,インテリ,インテリ,egghead;intelligentsia,noun (common) (futsuumeishi),intellectual | educated person | intelligentsia,review,55,noun_needs_review,general,egghead,インテリ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00144,N1,インフレ,インフレ,inflation,noun (common) (futsuumeishi),inflation,review,55,noun_needs_review,general,inflation,インフレ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00145,N1,ウェートレス,ウェイトレス / ウエイトレス / ウエートレス,waitress,noun (common) (futsuumeishi),waitress,review,55,noun_needs_review,general,waitress,ウェートレス,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00146,N1,エアメール,エアメール / エアーメール / エア・メール,air mail,noun (common) (futsuumeishi),airmail | air mail,review,55,noun_needs_review,general,air mail,エアメール,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00148,N1,エンジニア,エンジニア / エンジニアー / エンジニヤ,engineer,noun (common) (futsuumeishi),engineer,review,55,noun_needs_review,general,engineer,エンジニア,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00149,N1,オリエンテーション,オリエンテーション,orientation,noun (common) (futsuumeishi),orientation,review,55,noun_needs_review,general,orientation,オリエンテーション,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00151,N1,オンライン,オンライン / オン・ライン,on-line,noun (common) (futsuumeishi),"online | on the line (of a ball; in tennis, volleyball, etc.)",review,55,noun_needs_review,general,on-line,オンライン,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00152,N1,オーケー,オッケー / オーケー / おっけー,OK,interjection (kandoushi) | noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb | intransitive verb,OK | okay | fine (without) | not needed | unnecessary,review,48,action_needs_review,person_family,person oking,オーケー,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00155,N1,カクテル,カクテル / コクテール / コクテイル,cocktail,noun (common) (futsuumeishi),cocktail,review,55,noun_needs_review,general,cocktail,カクテル,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00156,N1,カット,カット,cut;cutting,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,cut | cutting | omission | reduction | haircut,review,48,action_needs_review,person_family,person cutting,カット,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00157,N1,カテゴリー,カテゴリ / カテゴリー / カテゴリィ,category,noun (common) (futsuumeishi),category,review,55,noun_needs_review,general,category,カテゴリー,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00158,N1,カムバック,カムバック,comeback,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,comeback,review,48,action_needs_review,person_family,person comebacking,カムバック,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00159,N1,カメラマン,カメラマン,cameraman,noun (common) (futsuumeishi),photographer | cameraman | camera operator | cinematographer,review,55,noun_needs_review,general,cameraman,カメラマン,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00160,N1,カルテ,カルテ,(de:) (n) clinical records (de: Karte),noun (common) (futsuumeishi),"patient's chart | clinical records | record (e.g. student, equipment maintenance, etc.)",review,55,noun_needs_review,general,clinical records,カルテ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00161,N1,カンニング,カンニング,cunning;cheat,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,cheating (on an examination) | cribbing,review,48,action_needs_review,person_family,person cunninging,カンニング,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00162,N1,カーペット,カーペット,carpet,noun (common) (futsuumeishi),carpet,review,55,noun_needs_review,general,carpet,カーペット,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00163,N1,ガイド,ガイド,tour guide,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,guide | tour guide | conductor | guiding | leading,review,48,action_needs_review,person_family,person touring guide,ガイド,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00164,N1,ガイドブック,ガイドブック,guidebook,noun (common) (futsuumeishi),guidebook,review,55,noun_needs_review,general,guidebook,ガイドブック,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00165,N1,ガレージ,ガレージ / ギャレージ,garage (at house),noun (common) (futsuumeishi),garage,review,55,noun_needs_review,general,garage,ガレージ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00166,N1,キャッチ,キャッチ,catch,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru,catch | catching | obtaining (e.g. information) | receiving (e.g. radio transmission or phone call) | shop tout,review,48,action_needs_review,person_family,person catching,キャッチ,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00167,N1,キャリア,キャリア / キャリヤ / キャリアー,career;career government employee,noun (common) (futsuumeishi),career | occupation | personal history | professional experience | government employee who has passed the highest national civil service exam,review,55,noun_needs_review,general,career,キャリア,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00168,N1,クイズ,クイズ,quiz,noun (common) (futsuumeishi),quiz,review,55,noun_needs_review,general,quiz,クイズ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00169,N1,クラブ,クラブ,club;crab,noun (common) (futsuumeishi),nightclub | sports club | team | (golf) club | clubs (suit),review,55,noun_needs_review,general,club,クラブ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00170,N1,クレーン,クレーン,crane,noun (common) (futsuumeishi),crane (machine),review,55,noun_needs_review,general,crane,クレーン,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00171,N1,グラフ,グラフ,graph,noun (common) (futsuumeishi),graph | chart | diagram,review,55,noun_needs_review,general,graph,グラフ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00173,N1,ゲスト,ゲスト,guest,noun (common) (futsuumeishi),guest,review,55,noun_needs_review,general,guest,ゲスト,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00174,N1,コマーシャル,コマーシャル,a commercial,noun (common) (futsuumeishi) | noun or verb acting prenominally,commercial (TV or radio advertisement) | commercial,review,48,action_needs_review,person_family,person commercialing,コマーシャル,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00175,N1,コミュニケーション,コミュニケーション / コミュニケイション / コミニュケーション,communication,noun (common) (futsuumeishi),communication,review,55,noun_needs_review,general,communication,コミュニケーション,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00176,N1,コメント,コメント,comment,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb | transitive verb,comment,review,48,action_needs_review,person_family,person commenting,コメント,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00177,N1,コンタクト,コンタクト,contact;contact lens,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,contact | touch | contact lens,review,48,action_needs_review,person_family,person contacting,コンタクト,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00178,N1,コンテスト,コンテスト,contest,noun (common) (futsuumeishi),contest,review,55,noun_needs_review,general,contest,コンテスト,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00179,N1,コントラスト,コントラスト,contrast,noun (common) (futsuumeishi),contrast,review,55,noun_needs_review,general,contrast,コントラスト,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00180,N1,コントロール,コントロール,control,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,control,review,48,action_needs_review,person_family,person controlling,コントロール,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00181,N1,コンパス,コンパス,compass,noun (common) (futsuumeishi),"compass (for drawing circles, etc.) | pair of compasses | (mariner's) compass | length of one's stride | length of one's legs",review,55,noun_needs_review,general,compass,コンパス,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00182,N1,コーナー,コーナー / コーナ,corner,noun (common) (futsuumeishi),corner | bend | turn | segment (within a radio or TV program) | session,review,55,noun_needs_review,general,corner,コーナー,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00183,N1,サイクル,サイクル,cycle,noun (common) (futsuumeishi),cycle,review,55,noun_needs_review,general,cycle,サイクル,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00184,N1,サイズ,サイズ,size,noun (common) (futsuumeishi),size,review,55,noun_needs_review,general,size,サイズ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00186,N1,サンキュー,サンキュー / サンキュ / センキュー,thank you,interjection (kandoushi),thank you | thanks,review,45,manual_review,general,thank you,サンキュー,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00187,N1,サンタクロース,サンタクロース / サンタ・クロース,Santa Claus,noun (common) (futsuumeishi),Santa Claus,review,55,noun_needs_review,general,Santa Claus,サンタクロース,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
