id,word,reading,meaning,meaningZh,image_review,image_type,visual_domain,image_query_en
n2_04601,水蒸気,すいじょうき,"water vapour,steam",水蒸气,NO PICTURE,single_object_or_place,food_drink,water vapour
n2_04766,田植え,たうえ,rice planting,插秧,OK,single_object_or_place,food_drink,rice planting
n2_04972,茶碗,ちゃわん,"rice bowl,tea cup,teacup",饭碗,OK,single_object_or_place,food_drink,rice bowl
n2_05006,衣食住,いしょくじゅう,"necessities of life (food, clothing, etc.)",衣食住,NO PICTURE,single_object_or_place,food_drink,necessities of life (food
n2_05261,餅,もち,sticky rice cake,米糕,NO PICTURE,single_object_or_place,food_drink,sticky rice cake
n2_03782,三日月,みかづき,"new moon,crescent moon",三日月,NO PICTURE,single_object_or_place,nature_weather,new moon
n2_03804,並木,なみき,"roadside tree,row of trees",行道树；树列,OK,single_object_or_place,nature_weather,roadside tree
n2_04080,吹雪,ふぶき,snow storm,暴风雪,OK,single_object_or_place,nature_weather,snow storm
n2_04164,夕日,ゆうひ,"(in) the evening sun,setting sun",夕阳,OK,single_object_or_place,nature_weather,evening sun
n2_04178,大木,たいぼく,large tree,大树,OK,single_object_or_place,nature_weather,large tree
n2_04259,山林,さんりん,"mountain forest,mountains and forest",山林；山地森林；林区,OK,single_object_or_place,nature_weather,mountain forest
n2_04491,日当たり,ひあたり,"exposure to the sun,sunny place",向阳地；阳光充足处,OK,single_object_or_place,nature_weather,exposure to the sun
n2_04626,海水浴,かいすいよく,"sea bathing,seawater bath",海水浴；海浴,NO PICTURE,single_object_or_place,nature_weather,sea bathing
n2_04627,海洋,かいよう,ocean,海洋；大海,OK,single_object_or_place,nature_weather,ocean
n2_04755,生け花,いけばな,(1) flower arrangement,花艺,OK,single_object_or_place,nature_weather,flower arrangement
n2_04859,空中,くうちゅう,"sky,air",空中,NO PICTURE,single_object_or_place,nature_weather,sky
n2_03747,ミシン,ミシン,sewing machine,缝纫机,NO PICTURE,single_object_or_place,object_tool,sewing machine
n2_03887,便箋,びんせん,"writing paper,stationery",便笺,OK,single_object_or_place,object_tool,writing paper
n2_03937,内線,ないせん,"phone extension,indoor wiring,inner line",分机,NO PICTURE,single_object_or_place,object_tool,phone extension
n2_04018,匙,さじ,spoon,勺子,OK,single_object_or_place,object_tool,spoon
n2_04057,古典,こてん,"old book,classics,classic",古典,NO PICTURE,single_object_or_place,object_tool,old book
n2_04109,回数券,かいすうけん,book of tickets,多次票、回数券,NO PICTURE,single_object_or_place,object_tool,book of tickets
n2_04116,図鑑,ずかん,picture book,图鉴,NO PICTURE,single_object_or_place,object_tool,picture book
n2_04150,塵紙,ちりがみ,"tissue paper,toilet paper",纸巾; 卫生纸,OK,single_object_or_place,object_tool,tissue paper
n2_04163,夕刊,ゆうかん,evening paper,晚报,NO PICTURE,single_object_or_place,object_tool,evening paper
n2_04403,投書,とうしょ,"letter to the editor,letter from a reader,contribution",读者来信,NO PICTURE,single_object_or_place,object_tool,letter to the editor
n2_04517,書籍,しょせき,"book,publication",书,OK,single_object_or_place,object_tool,book
n2_04702,為替,かわせ,"money order,exchange",汇票;外汇,NO PICTURE,single_object_or_place,object_tool,money order
n2_04794,目次,もくじ,table of contents,目录,NO PICTURE,single_object_or_place,object_tool,table of contents
n2_04865,窓口,まどぐち,ticket window,窗口,OK,single_object_or_place,object_tool,ticket window
n2_04887,紙幣,しへい,"paper money,notes,bills",纸币,OK,single_object_or_place,object_tool,paper money
n2_05219,障子,しょうじ,paper sliding door,纸拉门、障子,NO PICTURE,single_object_or_place,object_tool,paper sliding door
n2_05222,集金,しゅうきん,money collection,收款、收钱,NO PICTURE,single_object_or_place,object_tool,money collection
n2_05228,電柱,でんちゅう,"telephone pole,telegraph pole,lightpole",电线杆,OK,single_object_or_place,object_tool,telephone pole
n2_05256,食塩,しょくえん,table salt,食盐,OK,single_object_or_place,object_tool,table salt
n2_03494,おくさん,おくさん,"(hon) wife,your wife,madam",夫人,NO PICTURE,single_object_or_place,person_family,wife
n2_03650,ウーマン,ウーマン,woman,女士,NO PICTURE,single_object_or_place,person_family,woman
n2_03677,サラリーマン,サラリーマン / サラーリーマン / サラリマン,"salary man,company employee",上班族,NO PICTURE,single_object_or_place,person_family,salary man
n2_04135,坊や,ぼうや,boy,男孩,NO PICTURE,single_object_or_place,person_family,boy
n2_04182,夫妻,ふさい,"man and wife,married couple",夫妻,NO PICTURE,single_object_or_place,person_family,man and wife
n2_04184,女の人,おんなのひと,woman,女士,OK,single_object_or_place,person_family,woman
n2_04185,女房,にょうぼう,wife,妻子,NO PICTURE,single_object_or_place,person_family,wife
n2_04248,小学生,しょうがくせい,grade school student,小学生,NO PICTURE,single_object_or_place,person_family,grade school student
n2_04530,末っ子,すえっこ,youngest child,最小的孩子,NO PICTURE,single_object_or_place,person_family,youngest child
n2_04723,父母,ふぼ,"father and mother,parents",父母,NO PICTURE,single_object_or_place,person_family,father and mother
n2_04826,知人,ちじん,"friend,acquaintance",熟人、认识的人,NO PICTURE,single_object_or_place,person_family,friend
n2_03681,ショップ,ショップ,a shop,商店,NO PICTURE,single_object_or_place,place_building,shop
n2_03687,スクール,スクール,school,学校,NO PICTURE,single_object_or_place,place_building,school
n2_03724,ビルディング,ビルディング / ビルヂング,building,建筑物,NO PICTURE,single_object_or_place,place_building,building
n2_03978,別荘,べっそう,"holiday house,villa",别墅,NO PICTURE,single_object_or_place,place_building,holiday house
n2_04063,各地,かくち,"every place,various places",各地,NO PICTURE,single_object_or_place,place_building,every place
n2_04074,名所,めいしょ,famous place,名胜,NO PICTURE,single_object_or_place,place_building,famous place
n2_04091,商店,しょうてん,"shop,business firm",商店,OK,single_object_or_place,place_building,shop
n2_04125,在学,ざいがく,(enrolled) in school,在校,NO PICTURE,single_object_or_place,place_building,in school
n2_04127,地名,ちめい,place name,地名,NO PICTURE,single_object_or_place,place_building,place name
n2_04160,売店,ばいてん,"shop,stand",小卖部、售货亭,NO PICTURE,single_object_or_place,place_building,shop
n2_04174,大学院,だいがくいん,graduate school,研究生院,NO PICTURE,single_object_or_place,place_building,graduate school
n2_04179,大通り,おおどおり,main street,主街,NO PICTURE,single_object_or_place,place_building,main street
n2_04204,学年,がくねん,"year in school,grade in school",学年,NO PICTURE,single_object_or_place,place_building,year in school
n2_04210,官庁,かんちょう,"government office,authorities",政府机关,NO PICTURE,single_object_or_place,place_building,government office
n2_04230,家屋,かおく,"house,building",家、房子、建筑物,NO PICTURE,single_object_or_place,place_building,house
n2_04267,工員,こういん,factory worker,工厂工人,NO PICTURE,single_object_or_place,place_building,factory worker
n2_04292,庖丁,ほうちょう,"kitchen knife,carving knife",厨刀,NO PICTURE,single_object_or_place,place_building,kitchen knife
n2_04293,店屋,みせや,"store,shop",商店,NO PICTURE,single_object_or_place,place_building,store
n2_04295,座敷,ざしき,tatami room,日式房间,NO PICTURE,single_object_or_place,place_building,tatami room
n2_04325,役所,やくしょ,"government office,public office",政府办公室,NO PICTURE,single_object_or_place,place_building,government office
n2_04330,待合室,まちあいしつ,waiting room,等候室,NO PICTURE,single_object_or_place,place_building,waiting room
n2_04546,校舎,こうしゃ,school building,校舍,NO PICTURE,single_object_or_place,place_building,school building
n2_04612,洋品店,ようひんてん,shop which handles Western-style apparel and accessories,西式服饰店,NO PICTURE,single_object_or_place,place_building,shop which handles Western-style apparel and accessories
n2_04633,消防署,しょうぼうしょ,fire station,消防站,OK,single_object_or_place,place_building,fire station
n2_04732,物置,ものおき,storage room,储物间,OK,single_object_or_place,place_building,storage room
n2_04772,番地,ばんち,"house number,address",门牌号；地址,NO PICTURE,single_object_or_place,place_building,house number
n2_04810,県庁,けんちょう,prefectural office,县厅,NO PICTURE,single_object_or_place,place_building,prefectural office
n2_04855,税関,ぜいかん,customs house,海关,NO PICTURE,single_object_or_place,place_building,customs house
n2_05005,街角,まちかど,street corner,街角,NO PICTURE,single_object_or_place,place_building,street corner
n2_05076,貸家,かしや,house for rent,出租屋,NO PICTURE,single_object_or_place,place_building,house for rent
n2_05077,貸間,かしま,room to let,出租间,NO PICTURE,single_object_or_place,place_building,room to let
n2_05119,退院,たいいん,leaving hospital,出院,NO PICTURE,single_object_or_place,place_building,leaving hospital
n2_05143,遊園地,ゆうえんち,amusement park,游乐园,OK,single_object_or_place,place_building,amusement park
n2_03819,乗車,じょうしゃ,"taking a train,entraining",乘车,NO PICTURE,single_object_or_place,transport,taking a train
n2_04482,新幹線,しんかんせん,"bullet train (very high speed),shinkansen",新干线,NO PICTURE,single_object_or_place,transport,bullet train
n2_03617,ぺん,,pen,笔,OK,single_object_or_place,object_tool,pen
n2_03468,あきれる,あきれる,"to be amazed,to be shocked",感到惊讶,NO PICTURE,person_action_scene,action_state,person being amazed
n2_03473,あてはまる,あてはまる,"to be applicable,to come under (a category),to fulfill",适用；符合,NO PICTURE,person_action_scene,action_state,person being applicable
n2_03474,あてはめる,あてはめる,"to apply,to adapt",应用；适应,NO PICTURE,person_action_scene,action_state,person applying
n2_03476,あふれる,あふれる,"to flood,to overflow,to brim over",溢出,NO PICTURE,person_action_scene,action_state,person flooding
n2_03477,あぶる,あぶる,to scorch,烘烤,NO PICTURE,person_action_scene,action_state,person scorching
n2_03481,あわてる,あわてる,to become confused,慌乱,NO PICTURE,person_action_scene,action_state,person becoming confused
n2_03502,おどかす,おどかす,"to threaten,to coerce",威胁,NO PICTURE,person_action_scene,action_state,person threatenning
n2_03517,かじる,かじる,"to chew,to bite (at),to gnaw,to nibble",咀嚼,NO PICTURE,person_action_scene,action_state,person chewwing
n2_03519,からかう,からかう,"to ridicule,to tease,to banter with,to make fun of",捉弄、取笑,NO PICTURE,person_action_scene,action_state,person ridiculing
n2_03521,かわいがる,かわいがる,"to love,to be affectionate",疼爱、宠爱,NO PICTURE,person_action_scene,action_state,person loving
n2_03527,くっつく,くっつく,"to adhere to,to keep close to",粘附,NO PICTURE,person_action_scene,action_state,person adhering to
n2_03528,くっつける,くっつける,to attach,粘贴,NO PICTURE,person_action_scene,action_state,person attaching
n2_03530,くるむ,くるむ,"to be engulfed in,to be enveloped by,to wrap up",包裹,NO PICTURE,person_action_scene,action_state,person being engulfed in
n2_03534,こしらえる,こしらえる,"to make,to manufacture",制作,NO PICTURE,person_action_scene,action_state,person making
n2_03538,こぼす,こぼす,to spill,溢出,NO PICTURE,person_action_scene,action_state,person spilling
n2_03539,こぼれる,こぼれる,"to overflow,to spill",溢出,NO PICTURE,person_action_scene,action_state,person overflowwing
n2_03540,こらえる,こらえる / こたえる,"to bear,to stand,to endure,to put up with",忍耐、忍住,NO PICTURE,person_action_scene,action_state,person bearing
n2_03553,しびれる,しびれる / シビれる / シビレる,"to become numb,to go to sleep (i.e., a limb)",麻木；入睡,OK,person_action_scene,action_state,person becoming numb
n2_03554,しぼむ,しぼむ,"to wither,to fade (away),to shrivel,to wilt",枯萎,NO PICTURE,person_action_scene,action_state,person witherring
n2_03556,しゃがむ,しゃがむ,to squat,蹲下,OK,person_action_scene,action_state,person squating
n2_03558,しゃぶる,しゃぶる,"to suck,to chew",吸；舔,NO PICTURE,person_action_scene,action_state,person sucking
n2_03565,すれちがう,すれちがう,"to pass by one another,to disagree",擦肩而过,NO PICTURE,person_action_scene,action_state,person passing by one another
n2_03567,ずらす,ずらす,"to put off,to delay",推迟,NO PICTURE,person_action_scene,action_state,person putting off
n2_03577,ためらう,ためらう,to hesitate,犹豫,NO PICTURE,person_action_scene,action_state,person hesitating
n2_03580,だます,だます,"to trick,to cheat,to deceive",欺骗,NO PICTURE,person_action_scene,action_state,person tricking
n2_03582,ちぎる,ちぎる,"to cut up fine,to pick (fruit)",切碎；采摘,NO PICTURE,person_action_scene,action_state,person cutting up fine
n2_03584,つまずく,つまずく / つまづく,"to stumble,to trip",绊倒,NO PICTURE,person_action_scene,action_state,person stumbling
n2_03592,どなる,どなる,"to shout,to yell",大喊,NO PICTURE,person_action_scene,action_state,person shouting
n2_03593,なぐる,なぐる,"to strike,to hit",殴打、打,NO PICTURE,person_action_scene,action_state,person striking
n2_03602,はめる,はめる / ハメる,"(col) to get in,to insert,to put on,to make love",插入;戴上,NO PICTURE,person_action_scene,action_state,person getting in
n2_03609,ふざける,ふざける,"to romp,to gambol,to frolic,to joke",开玩笑,NO PICTURE,person_action_scene,action_state,person romping
n2_03611,ぶつかる,ぶつかる / ぶっつかる,"to strike,to collide with",碰撞,NO PICTURE,person_action_scene,action_state,person striking
n2_03612,ぶつける,ぶつける,"to knock,to run into,to nail on,to strike hard,to hit and attack",撞击,NO PICTURE,person_action_scene,action_state,person knocking
n2_03614,ぶらさげる,ぶらさげる,"to hang,to suspend,to dangle,to swing",悬挂,NO PICTURE,person_action_scene,action_state,person hanging
n2_03616,へる,へる,"to decrease (in size or number),to diminish,to abate",减少、减弱,NO PICTURE,person_action_scene,action_state,person decreasing
n2_03618,ほどく,ほどく,to unfasten,解开,NO PICTURE,person_action_scene,action_state,person unfastenning
n2_03622,またぐ,またぐ,to straddle,跨过,NO PICTURE,person_action_scene,action_state,person straddling
n2_03633,もたれる,もたれる,"to lean against,to lean on,to recline on,to lie heavy (on the stomach)",倚靠,NO PICTURE,person_action_scene,action_state,person leaning against
n2_03637,やっつける,やっつける,"to attack (an enemy),to beat,to do away with,to finish off",击败,NO PICTURE,person_action_scene,action_state,person attacking
n2_03640,ゆでる,ゆでる / うでる,to boil,煮,NO PICTURE,person_action_scene,action_state,person boiling
n2_03641,よこす,よこす,"(1) to send,to forward,(2) to hand over (e.g. money)",传送,NO PICTURE,person_action_scene,action_state,person sending
n2_03785,上る,のぼる,"to ascend,to go up,to climb",爬、登,NO PICTURE,person_action_scene,action_state,person ascending
n2_03789,下る,くだる,"to get down,to descend",下降、下去,NO PICTURE,person_action_scene,action_state,person getting down
n2_03821,乾かす,かわかす,"to dry (clothes, etc.),to desiccate",晾干,NO PICTURE,person_action_scene,action_state,person drying (clothes
n2_03826,争う,あらそう,"to dispute,to argue,to be at variance,to compete",竞争,NO PICTURE,person_action_scene,action_state,person disputing
n2_03829,亡くす,なくす,"to lose someone, wife, child, etc",失去亲人,NO PICTURE,person_action_scene,action_state,person losing someone
n2_03830,交ざる,まざる,"to be mixed,to be blended with,to associate with,to mingle with,to join",混合,NO PICTURE,person_action_scene,action_state,person being mixed
n2_03831,交じる,まじる,"to be mixed,to be blended with,to associate with",混合,NO PICTURE,person_action_scene,action_state,person being mixed
n2_03832,交ぜる,まぜる,"to be mixed,to be blended with",混合,NO PICTURE,person_action_scene,action_state,person being mixed
n2_03842,仕上がる,しあがる,to be finished,完成、结束,NO PICTURE,person_action_scene,action_state,person being finished
n2_03843,付合う,つきあう,"to associate with,to keep company with,to get on with",相处,NO PICTURE,person_action_scene,action_state,person associating with
n2_03845,代える,かえる,"to exchange,to interchange,to substitute,to replace",替换、交换,NO PICTURE,person_action_scene,action_state,person exchanging
n2_03860,伝わる,つたわる,"to be handed down,to be introduced,to be transmitted",传播,NO PICTURE,person_action_scene,action_state,person being handed down
n2_03875,余る,あまる,"to remain,to be left over,to be in excess,to be too many",剩余、过多,NO PICTURE,person_action_scene,action_state,person remaining
n2_03883,例える,たとえる,"to compare,to liken,to speak figuratively,to illustrate,to use a simile",比喻、比作,NO PICTURE,person_action_scene,action_state,person comparing
n2_03888,係わる,かかわる,"to concern oneself in,to have to do with,to affect,to influence,to stick to (opinions)",涉及,NO PICTURE,person_action_scene,action_state,person concerning oneself in
n2_03891,信ずる,しんずる,"to believe,to believe in,to place trust in",相信,NO PICTURE,person_action_scene,action_state,person believing
n2_03897,倣う,ならう,"to imitate,to follow,to emulate",模仿,NO PICTURE,person_action_scene,action_state,person imitating
n2_03906,傾く,かたむく,"to incline toward,to slant,to lurch",倾斜,NO PICTURE,person_action_scene,action_state,person inclining toward
n2_03909,儲かる,もうかる,"to be profitable,to yield a profit",盈利,NO PICTURE,person_action_scene,action_state,person being profitable
n2_03910,儲ける,もうける,"to get,to earn,to gain,to have (bear, beget) a child",赚取,NO PICTURE,person_action_scene,action_state,person getting
n2_03934,具える,そなえる,to be furnished with,配备,NO PICTURE,person_action_scene,action_state,person being furnished with
n2_03944,写る,うつる,"to be photographed,to be projected",被拍摄,NO PICTURE,person_action_scene,action_state,person being photographed
n2_03947,冷ます,さます,"to cool,to dampen,to let cool",降温,NO PICTURE,person_action_scene,action_state,person cooling
n2_03948,冷める,さめる,"to become cool,to wear off,to abate,to subside",变凉,NO PICTURE,person_action_scene,action_state,person becoming cool
n2_03949,冷やす,ひやす,"to cool,to refrigerate",冷藏,NO PICTURE,person_action_scene,action_state,person cooling
n2_03951,凍える,こごえる,"to freeze,to be chilled,to be frozen",冻住,NO PICTURE,person_action_scene,action_state,person freezing
n2_03953,凹む,へこむ,"to be dented,to be indented,to yield to,to give,to sink,to collapse,to cave in,to be snubbed",凹陷、泄气,NO PICTURE,person_action_scene,action_state,person being dented
n2_03956,出勤,しゅっきん,"going to work,at work",去上班;在岗,NO PICTURE,person_action_scene,action_state,person goinging to work
n2_03959,出掛ける,でかける,"to depart,to set out,to start,to be going out",出发,NO PICTURE,person_action_scene,action_state,person departing
n2_03961,出来上がる,できあがる,"(1) to be finished,to be ready,by definition,(2) to be very drunk",完成；喝醉,NO PICTURE,person_action_scene,action_state,person being finished
n2_03963,出迎える,でむかえる,"to meet,to greet",迎接,NO PICTURE,person_action_scene,action_state,person meeting
n2_03964,分かれる,わかれる,"to branch off,to diverge from,to fork,to split,to dispense,to scatter,to divide into",分支,NO PICTURE,person_action_scene,action_state,person branching off
n2_03965,分る,わかる,to be understood,明白、懂,NO PICTURE,person_action_scene,action_state,person being understood
n2_03980,制作,せいさく,"work (film, book)",制作,NO PICTURE,person_action_scene,action_state,person working (film
n2_03981,刷る,する,to print,印刷,NO PICTURE,person_action_scene,action_state,person printing
n2_03982,刺さる,ささる,"to stick,to be stuck",刺入、扎入,NO PICTURE,person_action_scene,action_state,person sticking
n2_03983,刺す,さす,"to pierce,to stab,to prick,to thrust",刺穿,NO PICTURE,person_action_scene,action_state,person piercing
n2_03985,刻む,きざむ,"to mince,to carve,to engrave",切碎,NO PICTURE,person_action_scene,action_state,person mincing
n2_03986,剃る,そる,to shave,剃,NO PICTURE,person_action_scene,action_state,person shaving
n2_03988,削る,けずる,"to cut down little by little,to take a percentage",削,NO PICTURE,person_action_scene,action_state,person cutting down little by little
n2_03991,剥く,むく,"to peel,to skin,to pare,to hull",剥,NO PICTURE,person_action_scene,action_state,person peeling
n2_03992,剥す,はがす,"(v5s) to tear off,to peel off,to rip off",剥离,NO PICTURE,person_action_scene,action_state,person tearing off
n2_04003,助かる,たすかる,"to be saved,to be rescued,to survive,to be helpful",得救、有帮助,NO PICTURE,person_action_scene,action_state,person being saved
n2_04005,努める,つとめる,"(1) to serve,to fill a post,to serve under,to work (for)",努力,NO PICTURE,person_action_scene,action_state,person serving
n2_04010,務める,つとめる,"(1) to serve,to fill a post,to serve under,to work (for)",工作；任职；服务,NO PICTURE,person_action_scene,action_state,person serving
n2_04014,匂う,におう,"to be fragrant,to smell,to stink",有香味；有臭味；发臭,NO PICTURE,person_action_scene,action_state,person being fragrant
n2_04020,区切る,くぎる,"to punctuate,to cut off,to mark off,to stop,to put an end to",分隔、划分,NO PICTURE,person_action_scene,action_state,person punctuating
n2_04030,占う,うらなう,"to forecast,to predict",预测,NO PICTURE,person_action_scene,action_state,person forecasting
n2_04033,卸す,おろす,"to sell wholesale,grated (vegetables)",批发销售,NO PICTURE,person_action_scene,action_state,person selling wholesale
n2_04043,反る,かえる,"to warp,to be warped,to curve",弯曲,NO PICTURE,person_action_scene,action_state,person warping
n2_04048,取り入れる,とりいれる,"to harvest,to take in,to adopt",采纳；引入,NO PICTURE,person_action_scene,action_state,person harvesting
n2_04049,取り出す,とりだす,"to take out,to produce,to pick out",取出、拿出,NO PICTURE,person_action_scene,action_state,person taking out
n2_04050,取り消す,とりけす,to cancel,取消,NO PICTURE,person_action_scene,action_state,person cancelling
n2_04051,受け持つ,うけもつ,to take (be in) charge of,负责,NO PICTURE,person_action_scene,action_state,person taking charge of
n2_04068,吊す,つるす,to hang,悬挂,NO PICTURE,person_action_scene,action_state,person hanging
n2_04069,吊る,つる,to hang,悬挂,OK,person_action_scene,action_state,person hanging
n2_04079,含める,ふくめる,"to include,to instruct,to make one understand",包含,NO PICTURE,person_action_scene,action_state,person including
n2_04083,味わう,あじわう,"to taste,to savor,to relish",品尝,NO PICTURE,person_action_scene,action_state,person tasting
n2_04084,呼び出す,よびだす,"to summon,to call (e.g. phone)",召唤,NO PICTURE,person_action_scene,action_state,person summonning
n2_04085,呼び掛ける,よびかける,"to call out to,to accost,to address (crowd),to appeal",呼喊,NO PICTURE,person_action_scene,action_state,person calling out to
n2_04086,命ずる,めいずる,"to command,to appoint",命令;任命,NO PICTURE,person_action_scene,action_state,person commanding
n2_04089,咥える,くわえる,to hold in one's mouth | to bring with | to take along,含住;携带,NO PICTURE,person_action_scene,action_state,person holding in one's mouth
n2_04096,嗅ぐ,かぐ,"to sniff,to smell",嗅探,NO PICTURE,person_action_scene,action_state,person sniffing
n2_04101,囁く,ささやく,"to whisper,to murmur",低语;谣言,NO PICTURE,person_action_scene,action_state,person whisperring
n2_04112,因る,よる,to come from,因于,NO PICTURE,person_action_scene,action_state,person coming from
n2_04118,固まる,かたまる,"to harden,to solidify,to become firm,to become certain",凝固;凝结;确定,NO PICTURE,person_action_scene,action_state,person hardenning
n2_04124,在る,ある,"to live,to be",存在、有,NO PICTURE,person_action_scene,action_state,person living
n2_04138,埋める,うめる,"to bury,to fill up,to fill (a seat, a vacant position)",埋葬;填满,NO PICTURE,person_action_scene,action_state,person burying
n2_04147,塞がる,ふさがる,"to be plugged up,to be shut up",堵塞,NO PICTURE,person_action_scene,action_state,person being plugged up
n2_04148,塞ぐ,ふさぐ,"to stop up,to close up,to block (up)",堵塞;封闭,NO PICTURE,person_action_scene,action_state,person stopping up
n2_04153,増やす,ふやす,"to increase,to add to,to augment",增加,NO PICTURE,person_action_scene,action_state,person increasing
n2_04158,売り切れる,うりきれる,to be sold out,售罄,NO PICTURE,person_action_scene,action_state,person being sold out
n2_04166,外れる,はずれる,"to be disconnected,to get out of place,to be off,to be out (e.g. of gear)",脱线,NO PICTURE,person_action_scene,action_state,person being disconnected
n2_04189,妨げる,さまたげる,"to disturb,to prevent",阻碍,NO PICTURE,person_action_scene,action_state,person disturbing
n2_04195,威張る,いばる,"to be proud,to swagger",自夸,NO PICTURE,person_action_scene,action_state,person being proud
n2_04197,嫌がる,いやがる,"to hate,to dislike",厌恶,NO PICTURE,person_action_scene,action_state,person hating
n2_04199,存じる,ぞんじる,(hum) to know,知晓,NO PICTURE,person_action_scene,action_state,person knowwing
n2_04200,存ずる,ぞんずる,to know | to be aware (of) | to be acquainted (with),知晓,NO PICTURE,person_action_scene,action_state,person knowwing
n2_04217,実る,みのる,"to bear fruit,to ripen",结果,NO PICTURE,person_action_scene,action_state,person bearing fruit
n2_04233,寄せる,よせる,"to collect,to gather,to add,to put aside",聚集、靠近,NO PICTURE,person_action_scene,action_state,person collecting
n2_04245,射す,さす,"to shine,to strike",照射,NO PICTURE,person_action_scene,action_state,person shining
n2_04253,尖る,とがる,"to taper to a point,to become sharp,to be sour,to look displeased",变尖；不悦,NO PICTURE,person_action_scene,action_state,person taperring to a point
n2_04258,属する,ぞくする,"to belong to,to come under,to be affiliated with,to be subject to",属于,NO PICTURE,person_action_scene,action_state,person belonging to
n2_04262,崩す,くずす,"to destroy,to pull down,to make change (money)",摧毁,NO PICTURE,person_action_scene,action_state,person destroying
n2_04263,崩れる,くずれる,"to collapse,to crumble",崩溃；散开,NO PICTURE,person_action_scene,action_state,person collapsing
n2_04264,巡る,めぐる,to go around,转、绕行,NO PICTURE,person_action_scene,action_state,person going around
n2_04266,工事,こうじ,construction work,施工,NO PICTURE,person_action_scene,action_state,person constructioning work
n2_04272,巻く,まく,"to wind,to coil,to roll",卷起；缠绕,NO PICTURE,person_action_scene,action_state,person winding
n2_04273,帰す,かえす,to send back,送回,NO PICTURE,person_action_scene,action_state,person sending back
n2_04274,干す,ほす,"to air,to dry,to desiccate,to drain (off),to drink up",晾干,NO PICTURE,person_action_scene,action_state,person airing
n2_04286,広げる,ひろげる,"to spread,to extend,to expand,to enlarge",展开；扩展,NO PICTURE,person_action_scene,action_state,person spreading
n2_04288,広める,ひろめる,"to broaden,to propagate",传播；扩大,NO PICTURE,person_action_scene,action_state,person broadenning
n2_04296,延ばす,のばす,"to lengthen,to stretch,to reach out,to grow (beard)",伸长、伸展、伸手、生长（胡须）,NO PICTURE,person_action_scene,action_state,person lengthenning
n2_04297,延びる,のびる,to be prolonged,延长；生长,NO PICTURE,person_action_scene,action_state,person being prolonged
n2_04299,建つ,たつ,"to erect,to be erected,to be built",建造；建立,NO PICTURE,person_action_scene,action_state,person erecting
n2_04300,引き止める,ひきとめる,"to detain,to check,to restrain",阻止；制止,NO PICTURE,person_action_scene,action_state,person detaining
n2_04301,引っ掛かる,ひっかかる,"to be caught in,to be stuck in,to be cheated",卡住；顺路停留,NO PICTURE,person_action_scene,action_state,person being caught in
n2_04302,引っ繰り返す,ひっくりかえす,"to turn over,to overturn,to knock over,to upset,to turn inside out",翻转,NO PICTURE,person_action_scene,action_state,person turning over
