row,id,level,word,reading,matchedTerm,sentenceId,sentenceJa,sentenceEn,sentenceZh,authorJa,authorEn,authorZh,score,status
87,n5_07915,N5,二人,ふたり,二人,11609706,私、結婚してて、二人の子持ちなのよ。,I am married and have two children.,我结婚了，而且有两个孩子。,small_snow,brauliobezerra,fucongcong,130,matched
88,n5_07951,N5,兄,あに,兄,12954902,兄は、ヘブライ語の教師をしています。,My brother is a Hebrew teacher.,,small_snow,shekitten,,96,matched
89,n5_07988,N5,医者,いしゃ,医者,11570857,今、お医者さんが診てくださってるわ。,The doctor is examining him right now.,,small_snow,Hybrid,,98,matched
90,n5_08001,N5,友達,ともだち,友達,13624409,友達にハルキウから電話をかけてます。,I'm calling my friend from Kharkiv.,,small_snow,Teashrock,,98,matched
91,n5_08048,N5,奥さん,おくさん,奥さん,10081829,彼の奥さん、カルフォルニア出身なの。,His wife comes from California.,他太太来自于加利福尼亚州。,small_snow,CK,fucongcong,132,matched
92,n5_08050,N5,女の子,おんなのこ,女の子,12734068,トムと話してる女の子はメアリーだよ。,The girl who's talking with Tom is Mary.,,bunbuku,CK,,100,matched
93,n5_08052,N5,妹,いもうと,妹,10802304,お前の妹って、うまく泳げないんだろ？,"Your sister can't swim well, can she?",你的姐姐游泳得不好，是不是？,bunbuku,CK,sysko,128,matched
94,n5_08053,N5,姉,あね,姉,10264537,この辞書、うちのお姉ちゃんのなんだ。,This dictionary is my sister's.,這本字典是我妹妹的。,bunbuku,CK,Martha,128,matched
95,n5_08057,N5,子供,こども,子供,12934038,通りで子供たちがサッカーをしている。,Children are playing football in the street.,,small_snow,sundown,,98,matched
96,n5_08060,N5,学生,がくせい,学生,13715791,僕も学生の時はよく就業をサボったよ。,"When I was a student, I also often cut classes.",,GreySquirrel,GreySquirrel,,98,matched
97,n5_08064,N5,家族,かぞく,家族,11571049,自分の人生より、家族の方が大切なの。,My family means more to me than my life does.,,small_snow,megamanenm,,98,matched
98,n5_08088,N5,弟,おとうと,弟,12142851,あいつの弟は、テレビばっかり見てる。,His brother watches TV all the time.,,small_snow,AlanF_US,,96,matched
99,n5_08211,N5,男の子,おとこのこ,男の子,12526669,男の子はカエルに石を投げつけました。,The boy threw a stone at the frog.,,bunbuku,CK,,100,matched
100,n5_08213,N5,留学生,りゅうがくせい,留学生,184748,外国人留学生は私たちに援助を求めた。,Foreign students demanded help from us.,,\N,shekitten,,100,matched
101,n5_07850,N5,デパート,デパート,デパート,11841667,この通りに、デパートってありますか？,Is there a department store on this street?,,small_snow,ddnktr,,102,matched
102,n5_07869,N5,ホテル,ホテル,ホテル,10903597,ホテルのプールをご利用いただけます。,You can use the hotel's swimming pool.,你可以使用旅馆的游泳池。,small_snow,CK,sadhen,132,matched
103,n5_07879,N5,レストラン,レストラン,レストラン,605795,良いメキシコのレストランを見つけた。,I found a good Mexican restaurant.,我发现一家很好的墨西哥餐厅。,voodoo,CK,CLARET,136,matched
104,n5_07965,N5,公園,こうえん,公園,9011614,毎朝、公園で犬を散歩させてるんだよ。,I walk my dog in the park every morning.,我每天早上到公园里遛狗。,bunbuku,CK,fucongcong,130,matched
105,n5_08005,N5,台所,だいどころ,台所,194778,メアリーは階段をおりて台所へ行った。,Mary went down to the kitchen.,瑪麗下樓到廚房。,\N,CK,Martha,130,matched
106,n5_08020,N5,図書館,としょかん,図書館,11634536,友達が、図書館の前で待ってるんです。,My friends are waiting in front of the library.,在圖書館前有朋友在等我。,small_snow,CK,timmerix,132,matched
107,n5_08059,N5,学校,がっこう,学校,11700155,エミリーは毎日歩いて学校に行きます。,Emily walks to school every day.,,small_snow,WarsawWill,,98,matched
108,n5_08062,N5,家,いえ,家,12460698,東京の叔父さんの家に泊まっています。,I am staying with my uncle in Tokyo.,我待在東京的叔叔家。,bunbuku,CK,Tajfun,128,matched
109,n5_08082,N5,店,みせ,店,11535709,ヤニーはセブンイレブンの店員だった。,Yanni was a 7-Eleven clerk.,,small_snow,Amastan,,96,matched
110,n5_08086,N5,建物,たてもの,建物,782028,京都には多くの古い有名な建物がある。,There are many famous historic buildings in Kyoto.,京都有很多有名的古建筑。,windra,hrin,fucongcong,130,matched
111,n5_08217,N5,病院,びょういん,病院,11644974,病院に行った方がいいんじゃないかな。,I think you should go to the hospital.,,bunbuku,CK,,98,matched
112,n5_08309,N5,道,みち,道,10713625,道を渡るときは、左右を確認すること。,Look both ways before you cross the street.,過馬路前先左右看一看。,bunbuku,CK,nickyeow,128,matched
113,n5_08312,N5,部屋,へや,部屋,12486195,僕の部屋でタバコは吸っちゃダメだよ。,You can't smoke in my room.,,small_snow,DJ_Saidez,,98,matched
114,n5_08313,N5,郵便局,ゆうびんきょく,郵便局,158062,私は夏休みの間、郵便局で働いていた。,I worked in a post office during the summer vacation.,暑假期间，我在邮局工作。,small_snow,CK,fucongcong,132,matched
115,n5_08318,N5,銀行,ぎんこう,銀行,10633354,こっちが郵便局で、あっちが銀行だよ。,This is a post office and that's a bank.,,bunbuku,CK,,98,matched
116,n5_07844,N5,タクシー,タクシー / タクシ / タキシ,タクシー,224661,ここでタクシーをつかまえられますか。,Can I catch a taxi here?,這裡攔得到計程車嗎？,mookeee,CK,LeviHighway,134,matched
117,n5_07858,N5,バス,バス,バス,12829734,バスケットの中には何も入っていない。,There isn't anything in the basket.,,small_snow,CK,,98,matched
118,n5_08023,N5,地下鉄,ちかてつ,地下鉄,774430,最寄の地下鉄の駅はどちらでしょうか？,Where is the nearest subway station?,最近的地鐵站在哪裡呢？,marloncori,CK,LeviHighway,132,matched
119,n5_08259,N5,自転車,じてんしゃ,自転車,8661296,トムはよく自転車で学校に行ってるよ。,Tom often goes to school by bicycle.,湯姆經常騎腳踏車去學校。,small_snow,CK,mimosawang,132,matched
120,n5_08298,N5,車,くるま,車,12258188,始発の電車に乗らないといけないんだ。,I must catch the first train.,我必须赶上头班火车。,bunbuku,CM,mtdot,128,matched
121,n5_08336,N5,電車,でんしゃ,電車,12258188,始発の電車に乗らないといけないんだ。,I must catch the first train.,我必须赶上头班火车。,bunbuku,CM,mtdot,130,matched
122,n5_08075,N5,川/河,かわ,川,11724551,川沿いの桜並木が、すごく綺麗でした。,The row of cherry blossom trees planted along the river was very beautiful.,,small_snow,end,,96,matched
123,n5_07938,N5,伯父/叔父,おじいさん,叔父,12460698,東京の叔父さんの家に泊まっています。,I am staying with my uncle in Tokyo.,我待在東京的叔叔家。,bunbuku,CK,Tajfun,130,matched
124,n5_07709,N5,あびる,あびる,,,,,,,,,,no_match
125,n5_07711,N5,ある,ある,ある,13546157,今日の4時間目に、プールがあるんだ。,I have swimming class during fourth period today.,今天的第四堂課有游泳池。,small_snow,chaarii_jpn,LeviHighway,130,matched
126,n5_07741,N5,かかる,かかる,かかる,1970868,彼は輸入にかかる税を減らしたかった。,He wanted to reduce the tax on imports.,他想要减少进口品的税。,AkeruT,Source_VOA,crescat,132,matched
127,n5_07743,N5,かける,かける,かける,10087631,その犬なら、毎日のように見かけるよ。,I see that dog almost every day.,我几乎每天都见到那条狗。,small_snow,CK,fucongcong,132,matched
128,n5_07760,N5,する,する,する,13684235,トムにキスをするところを目撃された。,She saw me kiss him.,,small_snow,CH,,98,matched
129,n5_07780,N5,つける,つける,つける,10313895,道路を渡るときは車に気をつけるのよ。,Look out for cars when you cross the road.,當你過馬路的時候要當心汽車。,small_snow,CK,Martha,132,matched
130,n5_07782,N5,できる,できる,できる,12459522,お前はまだ運転できる年齢じゃないぞ。,You're not yet old enough to drive.,,bunbuku,CK,,100,matched
131,n5_07799,N5,なる,なる,なる,12593236,危うく、森で迷子になるところだった。,I nearly got lost in the woods.,,small_snow,ddnktr,,98,matched
132,n5_07801,N5,はく,はく,はく,9240926,トムはくすぐられるのが大嫌いなんだ。,Tom hates being tickled.,,small_snow,CK,,98,matched
133,n5_07814,N5,やる,やる / ヤる,やる,9940168,やるべきことは、まだたくさんあるぞ。,There's still a lot of work to do.,還有很多東西要做。,small_snow,Hybrid,nickyeow,130,matched
134,n5_07899,N5,上げる,あげる,上げる,203674,たこを上げることが危険なこともある。,Flying a kite can be dangerous.,放風箏可以是危險的。,arnab,CK,Martha,132,matched
135,n5_07905,N5,並ぶ,ならぶ,並ぶ,107553,彼は古今に並ぶ者のない偉大な政治家である。,He is the greatest statesman that ever lived.,他是古今无匹的伟大政治家。,\N,\N,ydcok,127,matched
136,n5_07906,N5,並べる,ならべる,並べる,11056040,暖房器具の時期に、冷房器具を並べるようなデパートは、たちまちつぶれる。,Department stores that display air conditioners in heater season will very quickly go out of business.,在需要暖氣設備的季節把冷氣設備擺出來賣，這種百貨公司很快就會倒閉。,bunbuku,pip,LeviHighway,115,matched
137,n5_07909,N5,乗る,のる,乗る,2242470,私は始発電車に乗るために早起きした。,I got up early to catch the first train.,我为了赶上首班火车起了个早。,wool,CK,jan_OkulaJu,130,matched
138,n5_07934,N5,休む,やすむ,休む,2417243,私なら家に帰ってゆっくり休むけどね。,"If I were you, I'd go home and take a good rest.",,bunbuku,CK,,98,matched
139,n5_07935,N5,会う,あう,会う,11973389,こんなとこで会うなんてビックリだよ！,I'm surprised to see you in a place like this.,,bunbuku,CK,,98,matched
140,n5_07940,N5,住む,すむ,住む,231494,あなたは来年篠山に住むつもりですか。,Will you live in Sasayama next year?,你明年會住在筱山嗎？,\N,CN,Martha,130,matched
141,n5_07943,N5,作る,つくる,作る,8305438,俺はここで友達を作るつもりじゃない。,I'm not here to make friends.,我並不打算在這裡交朋友。,phenomenol,Hybrid,LeviHighway,130,matched
142,n5_07945,N5,使う,つかう,使う,10500926,今夜舞台で使うギターを貸してくれる？,Can you lend me a guitar to use on stage tonight?,,LeeSooHa,CK,,98,matched
143,n5_07947,N5,借りる,かりる,借りる,148889,借りる前にその車を見たいのですが。,I'd like to see the car before I rent it.,在把车子借出去之前，我想先看一眼。,\N,CK,fucongcong,131,matched
144,n5_07949,N5,働く,はたらく,働く,1182391,骨身を惜しまず働くのには慣れている。,I am accustomed to working hard.,我习惯辛勤努力地工作。,bunbuku,CK,cranewang,130,matched
145,n5_07957,N5,入る,はいる,入る,10798017,それいいね。トムも気に入ると思うよ。,"I like it. I think Tom does, too.",,small_snow,shekitten,,98,matched
146,n5_07958,N5,入れる,いれる,入れる,1701443,彼らは口に入れるものが何もないです。,They have nothing to eat.,他們沒有東西吃了。,Scott,Brian255,Martha,132,matched
147,n5_07973,N5,出かける,でかける,出かける,154687,私は日曜日にはよく繁華街に出かける。,I often go downtown on Sunday.,我常常星期日去市中心。,\N,CK,Martha,134,matched
148,n5_07974,N5,出す,だす,出す,12430776,外出するより家にいる方が好きなんだ。,I prefer to stay at home rather than go out.,,small_snow,sundown,,98,matched
149,n5_07975,N5,出る,でる,出る,11682777,このまま真っすぐ行くと、駅に出るよ。,"Just go straight on, and you'll come to the station.",,small_snow,sundown,,98,matched
150,n5_07977,N5,分かる,わかる,分かる,205772,それでドアが開いていたわけが分かる。,That accounts for why the door was open.,那解释了为什么门是开着的。,\N,\N,CynthiaGAN,132,matched
151,n5_07978,N5,切る,きる,切る,223425,このナイフは肉を切るために使われる。,This knife is used to cut meat.,,\N,CK,,98,matched
152,n5_07984,N5,勉強,べんきょうする,勉強,12049833,中国語を勉強して、中国に行きたいな。,I want to study Chinese and go to China.,我想学汉语和去中国。,small_snow,sharris123,verdakoro,130,matched
153,n5_07986,N5,勤める,つとめる,勤める,8225016,彼はコンサルティングファームに勤める。,He works for a consulting firm.,,ryuwryyy,tsp_2,,99,matched
154,n5_08002,N5,取る,とる,取る,200146,トムの望みは一等賞を取ることだった。,Tom's hope was to win first prize.,湯姆希望贏得第一名。,bunbuku,CK,Martha,130,matched
155,n5_08010,N5,吸う,すう,吸う,237500,あなたがタバコを吸うのは感心しない。,I don't agree with you smoking.,我不赞成你吸烟。,mookeee,Dejo,asosan,130,matched
156,n5_08011,N5,吹く,ふく,吹く,202226,テッドはトランペットを吹くのが好きです。,Ted likes playing the trumpet.,泰德喜歡吹小號。,\N,CN,Martha,128,matched
157,n5_08012,N5,呼ぶ,よぶ,呼ぶ,137526,大事なことはすぐ警察を呼ぶことです。,The important thing is to call the police at once.,最重要的是馬上報警。,\N,\N,nickyeow,130,matched
158,n5_08013,N5,咲く,さく,咲く,187406,何種類もの花がもうすぐ咲くでしょう。,Many kinds of flowers will come out soon.,不久之後，各種各樣的花卉將會盛開。,\N,CK,LeviHighway,130,matched
159,n5_08019,N5,困る,こまる,困る,167588,私が大金持ちだと思ってくれては困る。,Don't think I'm made of money.,,\N,CM,,98,matched
160,n5_08027,N5,売る,うる,売る,9152831,どんな値段だろうと、売る気はないよ。,I wouldn't sell that at any price.,任何價格我都不會賣。,bunbuku,CK,Martha,130,matched
161,n5_08054,N5,始まる,はじまる,始まる,235602,２００１年は２１世紀の始まる年です。,2001 is the year when the 21st century begins.,2001年是21世纪的开始。,e4zh1nmcz,\N,aliene,132,matched
162,n5_08067,N5,寝る,ねる,寝る,145663,寝る前にかならず明かりを消しなさい。,Don't forget to put out the light before you go to bed.,你睡覺之前不要忘了熄燈。,\N,magnificentgoddess,Martha,130,matched
163,n5_08077,N5,差す,さす,差す,138476,他人を指差すのは失礼なことです。,It is not polite to point at others.,用手指別人是不禮貌的。,\N,U2FS,Martha,128,matched
164,n5_08078,N5,帰る,かえる,帰る,195008,みんなが帰るまでに宿題を終えなさい。,Finish your homework by the time they return.,你要在他們回來之前把功課做完。,\N,AlanF_US,nickyeow,130,matched
165,n5_08083,N5,座る,すわる,座る,10668594,座るや否や、眠りに落ちてしまった。,"As soon as I sat down, I fell asleep.",我一坐下就睡著了。,small_snow,CM,atitarev,129,matched
166,n5_08087,N5,引く,ひく,引く,177179,君は辞書を引く習慣をつけるべきだ。,You should try to form the habit of using your dictionaries.,你们该养成使用字典的习惯。,\N,CK,fucongcong,129,matched
167,n5_08091,N5,弾く,ひく,弾く,91667,彼女はピアノを弾くことができますか。,Does she play the piano?,她會彈鋼琴嗎？,mookeee,sacredceltic,nickyeow,130,matched
168,n5_08092,N5,待つ,まつ,待つ,127202,男は妻が来るまで駅で待つことにした。,The man decided to wait at the station until his wife came.,男人覺定在火車站等到他妻子來。,\N,CK,DaoSeng,130,matched
169,n5_08096,N5,忘れる,わすれる,忘れる,234348,あっ、いけない！忘れるところだった！,"Oh, no! I almost forgot!",唉呀！我差點忘記了！,Sim5634,Lumi_alt,nickyeow,132,matched
170,n5_08104,N5,押す,おす,押す,223174,このボタンを押すだけで写真が撮れます。,All you have to do is push this button to take a picture.,你要做的就是按这个按钮拍照。,small_snow,CK,vicch,129,matched
171,n5_08105,N5,持つ,もつ,持つ,177503,君はもっと分別を持つべきだったのに。,You should have known better.,你本應該更明白的。,\N,CC,Martha,130,matched
172,n5_08106,N5,掃除,そうじする,掃除,412342,彼は、自発的にママの掃除を手伝った。,He voluntarily helped his mum clean.,他主动帮他妈妈做家务。,iris,blay_paul,sysko,130,matched
173,n5_08108,N5,撮る,とる,撮る,1902376,プロが撮るからいい写真になるんです。,"The photos are taken by a pro, so they'll turn out well.",照片是專業攝影師拍的，所以不會有問題。,blay_paul,blay_paul,nickyeow,130,matched
174,n5_08109,N5,教える,おしえる,教える,113342,彼はスペイン語を教えることができる。,He is capable of teaching Spanish.,他有能力教授西班牙文。,\N,CK,egg0073,132,matched
175,n5_08111,N5,散歩,さんぽする,散歩,9011614,毎朝、公園で犬を散歩させてるんだよ。,I walk my dog in the park every morning.,我每天早上到公园里遛狗。,bunbuku,CK,fucongcong,130,matched
176,n5_08117,N5,旅行,りょこう,旅行,10900108,去年ね、友達と海外旅行に行ったんだ。,"Last year, I traveled abroad with a friend.",,small_snow,CK,,98,matched
177,n5_08136,N5,晴れる,はれる,晴れる,235780,１時間もすれば間違いなく晴れるだろう。,Ten to one it'll clear up in an hour or so.,天氣八成在一個小時之內就會放晴。,e4zh1nmcz,CM,Martha,131,matched
178,n5_08142,N5,曇る,くもる,曇る,7562208,マスクをつけると眼鏡が曇る。,"When I wear a mask, my glasses fog up.",,Sonata,CK,,94,matched
179,n5_08143,N5,曲る,まがる,,,,,,,,,,no_match
180,n5_08144,N5,書く,かく,書く,232165,あなたは絵を書くのがじょうずですね。,"You are a good painter, aren't you?",你是個很棒的畫家，不是嗎？,\N,CC,Martha,130,matched
181,n5_08168,N5,歌う,うたう,歌う,91929,彼女はとても上手に歌うことができる。,She is able to sing very well.,她唱歌唱得很好聽。,bunbuku,CK,nickyeow,130,matched
182,n5_08169,N5,止まる,とまる,止まる,124820,電車が止まるまで降りてはいけません。,Don't get off the train till it stops.,列车停下前别下车。,tommy__san,CM,verdastelo9604,132,matched
183,n5_08170,N5,歩く,あるく,歩く,235095,５分間歩くと、私たちは公園に着いた。,Five minutes' walk brought us to the park.,走了五分鐘，我們就到達了公園。,e4zh1nmcz,CS,nickyeow,130,matched
184,n5_08172,N5,死ぬ,しぬ,死ぬ,2438478,彼女は危うく溺れて死ぬところだった。,She almost drowned.,她差点就溺水了。,bunbuku,CK,crescat,130,matched
185,n5_08183,N5,泳ぐ,およぐ,泳ぐ,10735916,ミス・カナダは、泳ぐのが上手いのよ。,Miss Canada swims well.,,small_snow,AlanF_US,,98,matched
186,n5_08185,N5,洗う,あらう,洗う,88607,彼女は食器を洗うのを嫌がらなかった。,She didn't mind doing the dishes.,她不介意要洗碗。,\N,CK,nickyeow,130,matched
187,n5_08188,N5,消える,きえる,消える,117010,彼の収入の大部分は家賃で消える。,The majority of his income goes to pay his rent.,他的大部分收入付了租金。,\N,CM,vicch,130,matched
188,n5_08189,N5,消す,けす,消す,215789,ジャックは予約を取り消すことにした。,Jack decided to cancel the reservations.,杰克決定取消預約。,\N,CN,nickyeow,130,matched
189,n5_08191,N5,渡す,わたす,渡す,10619359,見渡す限り、そこには砂しかなかった。,"As far as the eye could see, there was nothing but sand.",,bunbuku,CK,,98,matched
190,n5_08192,N5,渡る,わたる,渡る,10713625,道を渡るときは、左右を確認すること。,Look both ways before you cross the street.,過馬路前先左右看一看。,bunbuku,CK,nickyeow,130,matched
191,n5_08197,N5,無くす,なくす,なくす,201394,どうすれば戦争をなくす事ができるか。,How can we abolish war?,我們怎樣才能停止戰爭？,\N,AlanF_US,nickyeow,118,matched
192,n5_08208,N5,生まれる,うまれる,生まれる,144470,人は生まれるやいなや、死に向かう。,"As soon as man is born, he begins to die.",從出生的一刻開始，我們就在步向死亡。,\N,shekitten,nickyeow,133,matched
193,n5_08215,N5,疲れる,つかれる,疲れる,11027895,オープンワールドは楽しいけど疲れる。,"Open-world games are fun, but I get tired of them.",,KK_kaku_,end,,100,matched
194,n5_08219,N5,登る,のぼる,登る,231280,あのはしごには登るな。安全ではない。,Don't climb that ladder – it's not secure.,不要爬那个梯子，它不安全。,\N,sundown,fucongcong,130,matched
195,n5_08226,N5,着く,つく,着く,234128,駅に着くのにどのくらいかかりますか。,How long does it take to get to the station?,去火车站要多久？,bunbuku,CK,fucongcong,130,matched
196,n5_08227,N5,着る,きる,着る,1034600,私達は彼らに食べ物と着る物を与えた。,We provided food and clothes for them.,我們為他們提供了食物和衣服。,bunbuku,CK,nickyeow,130,matched
197,n5_08228,N5,知る,しる,知る,10808957,いずれは真実を知ることになるだろう。,"Sooner or later, we'll know the truth.",我們遲早會知道真相。,bunbuku,CK,Martha,130,matched
198,n5_08231,N5,磨く,みがく,磨く,190274,一日にせめて二回は歯を磨くべきだ。,You should brush your teeth at least twice a day.,你应该至少一天刷两次牙。,\N,CK,viviand41,129,matched
199,n5_08236,N5,立つ,たつ,立つ,225431,クレジットカードは役に立つが危険だ。,Credit cards are useful but dangerous.,信用卡很有用，但也有风险。,\N,mervert1,fucongcong,130,matched
200,n5_08237,N5,答える,こたえる,答える,1163938,私は全ての質問に答えることができた。,I was able to answer all the questions.,我能回答所有的問題。,bunbuku,CK,Martha,132,matched
201,n5_08247,N5,締める,しめる,締める,11655068,必ずシートベルトを締めること。,Be sure to fasten your seatbelt.,無論何時都要扣好安全帶。,bunbuku,CK,nickyeow,129,matched
202,n5_08248,N5,練習,れんしゅうする,練習,236933,アンディは、猛練習したにちがいない。,Andy must have practiced very hard.,安迪一定練習得很辛苦。,mookeee,CN,Martha,130,matched
203,n5_08249,N5,置く,おく,置く,10054740,子どもの手が届かないところに置くこと。,Put it where children can't get at it.,,bunbuku,CK,,97,matched
204,n5_08250,N5,習う,ならう,習う,9752005,私ね、フランス語を習う気満々なのよ。,I'm very motivated to learn French.,,small_snow,CK,,98,matched
205,n5_08252,N5,聞く,きく,聞く,11263667,同じことばっかり聞くのはうんざりだ。,I'm sick of hearing the same thing all the time.,,small_snow,AlanF_US,,98,matched
206,n5_08256,N5,脱ぐ,ぬぐ,脱ぐ,122097,入り口で靴を脱ぐことになっている。,We're supposed to take off our shoes at the entrance.,,bunbuku,CK,,97,matched
207,n5_08270,N5,行く,いく,行く,10949738,コンビニに行く途中で雨が降ってきた。,It started raining on my way to the convenience store.,去便利商店的路上開始下雨了。,small_snow,atitarev,atitarev,130,matched
208,n5_08272,N5,要る,いる,要る,11935727,お金が要るって、トムが言ってたんだ。,Tom said he needed money.,湯姆說他需要錢。,bunbuku,CK,verdastelo9604,130,matched
209,n5_08273,N5,見せる,みせる,見せる,146148,乗客は全員切符を見せることが要求される。,All passengers are required to show their tickets.,请所有乘客出示车票。,\N,CK,fucongcong,130,matched
210,n5_08275,N5,覚える,おぼえる,覚える,13179956,植物の名前を覚えるのが最近の趣味だ。,Memorizing the names of plants has been a recent hobby of mine.,,Gardenia,end,,100,matched
211,n5_08277,N5,言う,いう,言う,12163553,トムの彼女って、なんて言うんだっけ？,What's Tom's girlfriend's name?,,small_snow,CK,,98,matched
212,n5_08280,N5,話す,はなす,話す,12018776,電話で話すよりメールの方がいいです。,I prefer to text than to talk on the phone.,,small_snow,Hybrid,,98,matched
213,n5_08282,N5,読む,よむ,読む,12024125,その本読むのに、どれぐらいかかった？,How long did it take you to read that book?,,small_snow,CK,,98,matched
214,n5_08288,N5,買う,かう,買う,12080167,どうしてトムは車を買う必要があるの？,Why does Tom need to buy a car?,為什麼湯姆需要買車？,bunbuku,CK,LeviHighway,130,matched
215,n5_08289,N5,貸す,かす,貸す,11149245,手を貸すとでも、本気で思ってるの？,Do you really think I would help you?,你真的觉得我会帮你吗？,small_snow,cypherpartiv,Elaineeeeee,129,matched
216,n5_08290,N5,貼る,はる,貼る,148588,手紙に切手を貼るのを忘れるな。,Don't forget to put a stamp on your letter.,别忘了在你的信上贴张邮票。,\N,CK,fucongcong,127,matched
217,n5_08295,N5,走る,はしる,走る,223042,このヨットほど速く走るヨットはない。,No sailboat is faster than this one.,沒有遊艇像這艘遊艇一樣快。,\N,CK,LeviHighway,130,matched
218,n5_08296,N5,起きる,おきる,起きる,115641,彼は、そんなに早く起きる必要はない。,He doesn't need to get up so early.,他用不着起这么早。,\N,CK,cynthia,132,matched
219,n5_08305,N5,返す,かえす,返す,9182074,図書館に本を返すの、忘れないでよ。,Don't forget to return the book to the library.,別忘了把書還給圖書館。,bunbuku,CK,nickyeow,129,matched
220,n5_08308,N5,遊ぶ,あそぶ,遊ぶ,1484799,子供は本当に汀線で遊ぶのは大好きだ。,Children really like playing on the beach.,孩子们非常喜欢在海滩上玩耍。,marshmallowcat,emmettricks,fucongcong,130,matched
221,n5_08310,N5,違う,ちがう,違う,10080143,天文学と占星学とは何が違うでしょう？,What's the difference between astronomy and astrology?,「astronomy」和「astrology」有什麼區別？,small_snow,CK,LeviHighway,130,matched
222,n5_08321,N5,閉まる,しまる,閉まる,179601,銀行がいつ閉まるかわかりますか。,Do you have any idea when the bank closes?,你知道银行什么时候关门吗？,\N,J_S,yuzazaza,130,matched
223,n5_08322,N5,閉める,しめる,閉める,201771,ドアを閉めるのを忘れないでください。,Please don't forget to shut the door.,,bunbuku,CK,,100,matched
